Rank,Method,WSADE,ADEv,ADEp,ADEb,WSFDE,FDEv,FDEp,FDEb
421,1gatxing-xy6-WS-2lay-e79,1.2702,2.221,0.7396,1.8045,2.3515,3.9989,1.4032,3.3538
422,MODEL_85,1.2703,2.223,0.7222,1.8494,2.3847,4.0335,1.3824,3.5284
423,8_292,1.2703,2.1954,0.7257,1.8649,2.3703,3.96,1.3774,3.5429
424,TypeLNew35,1.2703,2.1822,0.7336,1.8562,2.3568,3.9054,1.4057,3.4562
425,xriver007_1all_e35load,1.2704,2.303,0.7208,1.7805,2.384,4.2219,1.3781,3.365
426,lanni-f6,1.2706,2.1912,0.7404,1.8313,2.3618,3.9512,1.4101,3.4257
427,MODEL_75,1.2708,2.2302,0.7115,1.8733,2.3846,4.0301,1.3618,3.5851
428,29_274,1.2708,2.1517,0.7634,1.8075,2.3547,3.8892,1.4443,3.3598
429,14_243,1.2709,2.1273,0.7607,1.8374,2.3768,3.8462,1.4423,3.5045
430,glen0288,1.2709,2.1243,0.7734,1.8066,2.3753,3.8578,1.4737,3.4044
431,TypeTest29,1.271,2.2114,0.7203,1.8678,2.3709,3.9845,1.3766,3.5252
432,TypeLW35,1.2712,2.2064,0.7308,1.8458,2.3822,3.9823,1.4092,3.4928
433,gripgatxing-xy6-noD-e49,1.2712,2.2441,0.7364,1.7969,2.3491,4.0547,1.3965,3.3101
434,1gatxing-xy6-noD-2lay-e34,1.2713,2.2257,0.7344,1.8193,2.3449,4.0305,1.3921,3.3246
435,1_203,1.2714,2.1929,0.7261,1.8714,2.3574,3.9245,1.3837,3.4997
436,TP-GAT-42-05,1.2717,2.2507,0.7158,1.8472,2.371,4.0651,1.3669,3.478
437,v-lstm2,1.2717,2.1776,0.7526,1.8169,2.3668,3.8738,1.4515,3.4097
438,29_275,1.2717,2.1798,0.754,1.8112,2.3697,3.9529,1.4401,3.381
439,own_70(1),1.2718,2.2784,0.7193,1.8134,2.3416,4.0745,1.3525,3.374
440,xriver007_1all_e55load,1.2718,2.2618,0.7183,1.8308,2.3724,4.1134,1.3764,3.4155
441,lanni-f7,1.272,2.2078,0.7361,1.8343,2.3615,3.9779,1.4026,3.4201
442,glennh020,1.2721,2.146,0.746,1.8648,2.3662,3.8218,1.4342,3.4999
443,rlennh041,1.2721,2.1781,0.7456,1.8367,2.3871,3.9206,1.4379,3.4955
444,MODEL_50(3),1.2722,2.1913,0.7374,1.8468,2.4142,4.0107,1.4248,3.5714
445,xriver007,1.2722,2.2365,0.7292,1.8271,2.3786,4.0537,1.3941,3.4513
446,1gatxing-hot+6-1lay-e62,1.2722,2.2015,0.747,1.8119,2.3443,3.9572,1.4189,3.3177
447,MODEL_15,1.2723,2.2358,0.7236,1.8428,2.3872,4.0808,1.3857,3.4878
448,9_239,1.2723,2.2003,0.7408,1.83,2.3887,3.9623,1.4404,3.4584
449,TypeL4Graph30,1.2723,2.1935,0.7307,1.8627,2.3732,3.9438,1.3881,3.5423
450,xriver007_my16_lstm,1.2723,2.1648,0.7431,1.8563,2.3823,3.8757,1.4394,3.5105
451,1gatxing-xy6-WS-2lay-e62,1.2723,2.226,0.7427,1.8015,2.3606,4.0308,1.4151,3.3351
452,6_295,1.2726,2.1559,0.7515,1.8434,2.3859,3.8682,1.4641,3.4686
453,GNN222,1.2728,2.1986,0.7514,1.8059,2.3837,3.9634,1.4529,3.4015
454,VI Social from Naive,1.2728,2.2879,0.7311,1.7782,2.3686,4.1604,1.4083,3.2714
455,glennh015,1.2728,2.1733,0.7397,1.8595,2.3699,3.885,1.4221,3.4913
456,1gatxing-onehot9-2lay-e79,1.2728,2.2451,0.7451,1.78,2.347,4.0443,1.4161,3.258
457,MODEL_30(4),1.2733,2.2293,0.7278,1.8423,2.3935,4.0507,1.4021,3.5007
458,glen026,1.2733,2.0954,0.7763,1.8361,2.3779,3.773,1.4954,3.4361
459,1gatxing-xy6-Dp-2lay-e62,1.2733,2.2092,0.7592,1.7777,2.3576,3.9811,1.4421,3.2952
460,goh16,1.2734,2.2204,0.7346,1.8328,2.3694,3.9846,1.4083,3.4348
461,xriver007_1all_e59load,1.2736,2.2828,0.731,1.7866,2.392,4.1901,1.4056,3.3577
462,whitegalaxy,1.2736,2.1481,0.7564,1.842,2.4102,3.9153,1.4725,3.5141
463,rlennh054,1.2738,2.1118,0.7649,1.8536,2.3818,3.7521,1.4711,3.5369
464,gripgatxing-seq3m1-e49,1.2738,2.2284,0.7176,1.8722,2.3798,3.9996,1.3729,3.5619
465,1gatxing-xy6-Dp-2lay-e79,1.2738,2.2098,0.7605,1.776,2.3624,3.9864,1.45,3.2916
466,MODEL_21,1.2741,2.2721,0.722,1.8222,2.3913,4.1341,1.384,3.4626
467,10_269,1.2742,2.204,0.7273,1.8707,2.3572,3.9716,1.3604,3.5175
468,glennh019,1.2743,2.1334,0.7631,1.8408,2.3654,3.7874,1.4673,3.4406
469,att16,1.2744,2.211,0.7262,1.8684,2.3786,3.9776,1.386,3.5418
470,self16,1.2746,2.213,0.7925,1.6925,2.3905,4.0203,1.5395,3.1522
471,fnb128,1.2746,2.2004,0.7401,1.8423,2.4321,4.0606,1.4422,3.5615
472,520_0,1.2747,2.2123,0.7433,1.8231,2.3818,3.9718,1.4332,3.437
473,xriver007_1all_e40load,1.2747,2.268,0.7244,1.8223,2.4036,4.1291,1.405,3.4675
474,21_269,1.2748,2.2296,0.7322,1.8372,2.3791,4.0134,1.4074,3.4553
475,30_193,1.2748,2.2185,0.7333,1.8446,2.344,3.9748,1.3827,3.3959
476,23_233,1.2748,2.1421,0.7794,1.7922,2.37,3.8359,1.4798,3.3843
477,rlennh030,1.2751,2.1648,0.7515,1.8466,2.3785,3.8731,1.4361,3.5041
478,grip++zj,1.2751,2.1493,0.7774,1.7927,2.3775,3.8742,1.5045,3.3186
479,STGTP-ai1,1.2753,2.2492,0.7243,1.8424,2.3764,4.0677,1.3846,3.4537
480,30_207,1.2753,2.2059,0.7286,1.8707,2.3523,3.9323,1.3899,3.4531
481,32_285,1.2754,2.1862,0.7483,1.8368,2.3825,3.9718,1.4225,3.4686
482,1gatxing-hot+6-2lay-e49,1.2755,2.2034,0.7441,1.8329,2.3671,4.0051,1.4226,3.3682
483,grip20,1.2756,2.1968,0.7593,1.7995,2.3588,3.9554,1.4413,3.3262
484,VI Social from Naive rot,1.2758,2.2447,0.7329,1.8264,2.3761,4.0487,1.4046,3.4168
485,9_216,1.276,2.2378,0.7397,1.8154,2.395,4.0344,1.4375,3.429
486,soh145,1.276,2.1843,0.7396,1.8644,2.3832,3.9186,1.4279,3.5057
487,gripgatxing-seq3m1,1.2761,2.2679,0.7119,1.8621,2.3712,4.0535,1.3545,3.5223
488,1gatxing-xy6-noD-1lay-e56,1.2761,2.2308,0.7461,1.8054,2.3725,4.0406,1.4234,3.3582
489,gripgatxing-onehot9-e49,1.2762,2.2415,0.7525,1.7792,2.3729,4.0776,1.4377,3.2886
490,grip_test,1.2764,2.173,0.7479,1.8548,2.374,3.8794,1.4238,3.5104
491,glen020,1.2764,2.2111,0.7277,1.8733,2.3926,3.983,1.3975,3.57
492,xriver007-my12,1.2765,2.2581,0.7276,1.8313,2.3858,4.0992,1.3871,3.4612
493,Vi_model_m1_4,1.2767,2.2463,0.7277,1.8425,2.3692,4.0318,1.3833,3.4569
494,22_287,1.2767,2.1534,0.7407,1.8928,2.3983,3.8625,1.443,3.5856
495,TypeLNew48,1.2767,2.224,0.7358,1.8415,2.386,4.0251,1.4008,3.4932
496,1gatxing-hot+6-2lay-e79,1.2767,2.2408,0.7393,1.8169,2.3621,4.05,1.4093,3.3395
497,ffcv,1.2767,2.1914,0.744,1.8496,2.3905,3.9847,1.4324,3.467
498,15_296,1.2768,2.1868,0.7393,1.8665,2.4034,3.9504,1.4442,3.5259
499,grip18,1.2768,2.2004,0.7541,1.8152,2.3643,3.9346,1.439,3.3763
500,gripgatxing-seq3-e32,1.2768,2.2293,0.7239,1.8685,2.3876,4.015,1.3867,3.5469
501,gripgatxing-seq3-e49,1.2768,2.2293,0.7239,1.8685,2.3876,4.015,1.3867,3.5469
502,29_236,1.2769,2.1357,0.7681,1.8375,2.3667,3.8465,1.4634,3.4029
503,chenze@msn.cn,1.277,2.1987,0.732,1.8759,2.3661,3.9329,1.3961,3.4992
504,gatxing-onehot9-2lay-e79,1.2771,2.2379,0.7497,1.794,2.3711,4.0507,1.4319,3.3203
505,TypeLNew30,1.2773,2.2203,0.7306,1.8613,2.3868,4.0031,1.4069,3.501
506,xriver007_my18,1.2774,2.2225,0.737,1.8431,2.4176,4.0383,1.4374,3.5285
507,xcxcxc,1.2779,2.1674,0.7707,1.8064,2.3654,3.9187,1.4842,3.2767
508,DNNA,1.2779,2.1674,0.7707,1.8064,2.3654,3.9187,1.4842,3.2767
509,VI Social rot,1.2779,2.2119,0.7457,1.832,2.3857,3.9771,1.4396,3.4332
510,grip,1.2779,2.2347,0.7256,1.8643,2.3993,4.0562,1.3946,3.5419
511,TypeLL19,1.278,2.2478,0.7202,1.8668,2.3789,4.0573,1.364,3.5288
512,LType19,1.278,2.2478,0.7202,1.8668,2.3789,4.0573,1.364,3.5288
513,dwoh0029,1.2781,2.2175,0.7352,1.8554,2.3937,4.0102,1.4136,3.5082
514,glen021,1.2781,2.199,0.7338,1.8759,2.4027,3.9768,1.41,3.589
515,glen018,1.2782,2.1857,0.7396,1.8733,2.3788,3.9092,1.425,3.5021
516,1gatxing-xy6-WS-2lay-e43,1.2783,2.256,0.7363,1.8185,2.373,4.1048,1.4003,3.3629
517,1gatxing-hot+6-2lay-e32,1.2784,2.2585,0.7347,1.8206,2.3621,4.0743,1.3938,3.3584
518,GNN_0,1.2785,2.2796,0.7248,1.8282,2.4023,4.1559,1.3884,3.4811
519,GNN_35,1.2785,2.2796,0.7248,1.8282,2.4023,4.1559,1.3884,3.4811
520,xriver007_t18,1.2785,2.191,0.7443,1.8575,2.383,3.9338,1.4243,3.5005
521,lanni-f,1.2787,2.2255,0.7388,1.8415,2.3739,4.0112,1.409,3.4294
522,gripgatxing-onehot+6-e79,1.2788,2.227,0.7514,1.8072,2.3679,4.0293,1.4284,3.3346
523,MODEL_59,1.2789,2.2101,0.7419,1.8479,2.3945,3.997,1.42,3.5066
524,23_89,1.2789,2.1589,0.766,1.831,2.3861,3.8659,1.4787,3.4332
525,31_269,1.279,2.1747,0.7489,1.8622,2.3619,3.8612,1.429,3.4584
526,31_256,1.279,2.1747,0.7489,1.8622,2.3619,3.8612,1.429,3.4584
527,MODEL_95,1.2791,2.2507,0.7178,1.8758,2.4118,4.0894,1.3773,3.6142
528,lanni-gg,1.2791,2.2177,0.732,1.868,2.389,4.0079,1.3961,3.5351
529,b4_31,1.2792,2.2283,0.7448,1.8254,2.3982,4.0481,1.4353,3.437
530,gatxing-onehot9-2lay-e49,1.2792,2.249,0.7532,1.7841,2.3699,4.0851,1.4332,3.28
531,gripgatxing-xy6-e49,1.2793,2.2437,0.7534,1.789,2.3683,4.0501,1.4315,3.3091
532,23_298,1.2794,2.1386,0.7813,1.8114,2.3799,3.7975,1.5023,3.4048
533,23_265,1.2794,2.1386,0.7813,1.8114,2.3799,3.7975,1.5023,3.4048
534,gatxing-onehot9-2lay-e62,1.2795,2.2294,0.7505,1.8105,2.368,4.0217,1.4296,3.3387
535,1gatxing-hot+6-2lay-e62,1.2795,2.2269,0.7455,1.8259,2.3706,4.007,1.4213,3.3858
536,1_288,1.2796,2.2209,0.7304,1.8719,2.3762,3.9696,1.4008,3.4991
537,Kam11,1.2797,2.272,0.7213,1.8497,2.3766,4.0962,1.3695,3.4686
538,Model_m1_1,1.2797,2.272,0.7213,1.8497,2.3766,4.0962,1.3695,3.4686
539,1gatxing-xy6-noD-1lay-e62,1.2797,2.2308,0.7509,1.8092,2.381,4.0239,1.4442,3.3573
540,lanni-f3,1.2798,2.2486,0.7345,1.8367,2.3771,4.0536,1.4039,3.4189
541,15_281,1.2799,2.2014,0.7412,1.8625,2.3842,3.941,1.4287,3.4879
542,glennh024,1.2799,2.1711,0.7497,1.8677,2.3778,3.8549,1.4397,3.5083
543,GRIP-10ngcn,1.2799,2.2396,0.7424,1.8247,2.3931,4.0529,1.4287,3.4267
544,rlennh072,1.28,2.1517,0.7691,1.8344,2.3816,3.8407,1.4652,3.471
545,TypeTest21,1.2801,2.2241,0.7213,1.8949,2.3876,4.0009,1.3774,3.5842
546,Grip_notype_nohead,1.2802,2.1717,0.7588,1.8444,2.3831,3.8912,1.4582,3.4506
547,MODEL_24,1.2803,2.2798,0.7277,1.8286,2.4003,4.1299,1.4034,3.4561
548,tf_baseline_f6,1.2803,2.2322,0.7398,1.8398,2.4024,4.0317,1.4309,3.4826
549,1gatxing-xy6-noD-1lay-e79,1.2803,2.2356,0.7395,1.8375,2.381,4.0442,1.4208,3.4003
550,own_100,1.2804,2.234,0.7291,1.8668,2.3872,4.0291,1.3879,3.529
551,Vi_model_5_e16,1.2804,2.2418,0.7404,1.8302,2.3875,4.03,1.4191,3.4475
552,TypeLCon30,1.2804,2.2429,0.7117,1.9048,2.3809,4.0249,1.3588,3.5809
553,1gatxing-onehot9-2lay-e58,1.2804,2.2492,0.7431,1.8164,2.3747,4.0655,1.4168,3.363
554,1xing-xy6-WS-2l-allin-e30,1.2808,2.2582,0.7355,1.8297,2.3703,4.0805,1.3969,3.3818
555,23_295,1.2809,2.1202,0.7891,1.8146,2.3844,3.7708,1.5131,3.421
556,29_262,1.281,2.1804,0.7609,1.8347,2.3852,3.9416,1.454,3.4254
557,TypeLCon39,1.281,2.2541,0.7172,1.8829,2.385,4.066,1.3682,3.5375
558,f_n55,1.281,2.1639,0.7777,1.8053,2.3963,3.8803,1.5051,3.3968
559,fnb46,1.281,2.2055,0.7687,1.7913,2.4094,3.9942,1.4927,3.3853
560,test_GRIP,1.2811,2.1477,0.7797,1.815,2.3922,3.8494,1.5161,3.3772
561,vi_iu_grip_bl_20,1.2812,2.1825,0.763,1.8279,2.385,3.8901,1.4629,3.4477
562,vi_iu_grip_lstm_22,1.2812,2.1825,0.763,1.8279,2.385,3.8901,1.4629,3.4477
563,glen017,1.2812,2.2108,0.7329,1.8817,2.3888,3.96,1.399,3.5698
564,glen023,1.2812,2.2108,0.7329,1.8817,2.3888,3.96,1.399,3.5698
565,gripdudim,1.2812,2.2458,0.7409,1.8285,2.3941,4.0583,1.4124,3.4693
566,att26,1.2812,2.2257,0.7337,1.8661,2.3903,4.0036,1.3991,3.5369
567,1gatxing-onehot9-2lay-e49,1.2812,2.2401,0.7478,1.8157,2.3728,4.0433,1.4238,3.3562
568,xriver007_1all_e30load,1.2813,2.2975,0.7293,1.8127,2.4108,4.1761,1.4104,3.4434
569,1gatxing-onehot9-2lay-e66,1.2813,2.27,0.7466,1.7921,2.3785,4.1213,1.4274,3.3016
570,soh142,1.2815,2.1836,0.7541,1.852,2.3882,3.9191,1.4453,3.4821
571,grp10,1.2815,2.2287,0.7429,1.8404,2.3807,4.0018,1.4125,3.4594
572,soh300249,1.2816,2.1919,0.7595,1.8303,2.4031,3.9702,1.4726,3.4317
573,30_223,1.2817,2.2406,0.7265,1.8735,2.3591,3.9913,1.3847,3.4443
574,gripdw16,1.282,2.2184,0.7347,1.8735,2.392,3.9864,1.4049,3.545
575,GRIP0016,1.2821,1.9734,0.8553,1.7787,2.4166,3.516,1.6945,3.3207
576,ssddq108,1.2821,2.219,0.7499,1.8333,2.4044,4.0235,1.4441,3.4644
577,ssddqre108,1.2821,2.219,0.7499,1.8333,2.4044,4.0235,1.4441,3.4644
578,vi_model_m1_3_e24,1.2822,2.2247,0.7561,1.8126,2.3662,3.9839,1.4231,3.3817
579,soh300234,1.2825,2.1714,0.7565,1.8612,2.4059,3.924,1.4663,3.503
580,MODEL_50(5),1.2826,2.2124,0.7453,1.8537,2.4219,4.0068,1.4439,3.5596
581,Model_m4_2,1.2826,2.1878,0.7552,1.8501,2.3737,3.9437,1.4187,3.4641
582,8_289,1.2826,2.1996,0.7588,1.8298,2.4087,3.9943,1.4562,3.4782
583,22_277,1.2826,2.1636,0.7485,1.8898,2.4168,3.8813,1.4713,3.5781
584,22_269,1.2826,2.1636,0.7485,1.8898,2.4168,3.8813,1.4713,3.5781
585,Model_m3_1,1.2827,2.2535,0.7446,1.8189,2.3722,4.0244,1.4124,3.4004
586,Model_m3_2,1.2827,2.2535,0.7446,1.8189,2.3722,4.0244,1.4124,3.4004
587,own_model_150,1.2828,2.1969,0.7689,1.8066,2.4013,3.9415,1.4775,3.4366
588,gatxing-onehot+6-0.2-e79,1.2828,2.2662,0.7526,1.7868,2.3774,4.1048,1.4424,3.2721
589,TYPE++,1.2829,2.2284,0.7355,1.8665,2.3967,4.0543,1.4098,3.4915
590,TYPELL,1.2829,2.2284,0.7355,1.8665,2.3967,4.0543,1.4098,3.4915
591,Vi_model_6_e24,1.283,2.2213,0.7438,1.8515,2.3944,3.9897,1.423,3.5051
592,Vi_model_6_e16,1.2831,2.2448,0.7461,1.8247,2.3875,4.0275,1.4263,3.4307
593,revision-5ngcn,1.2831,2.2299,0.7472,1.8352,2.3922,4.0033,1.4351,3.4507
594,own_30,1.2833,2.2818,0.7148,1.8743,2.4089,4.1485,1.3685,3.5705
595,1gatxing-xy6-WS-2lay-e16,1.2833,2.2692,0.7414,1.8157,2.384,4.0947,1.4119,3.3917
596,VI Naive rot,1.2834,2.2317,0.7437,1.8442,2.3855,4.0214,1.4234,3.4347
597,baseline_c,1.2834,2.199,0.75,1.8575,2.4114,4.003,1.4481,3.5042
598,grip_0nccn,1.2835,2.2314,0.7473,1.8356,2.3927,4.0063,1.4353,3.4499
599,VI Naive expand,1.2836,2.303,0.7275,1.8229,2.3859,4.1822,1.3925,3.372
600,goh15,1.2836,2.2318,0.7505,1.8272,2.3918,4.0162,1.4424,3.4181
601,1gatxing-hot+6-1lay-e32,1.2836,2.2401,0.7521,1.8152,2.3758,4.0322,1.4318,3.3589
602,ssddqre0112,1.2837,2.2401,0.7416,1.8436,2.4013,4.046,1.4212,3.4899
603,asdf,1.2838,2.22,0.7393,1.8681,2.4021,3.992,1.4202,3.5454
604,grip-0ngcn,1.2838,2.2308,0.7477,1.8361,2.3938,4.0057,1.4362,3.4531
605,REVISON1-0NCCN,1.2838,2.2322,0.748,1.834,2.3933,4.0086,1.4369,3.4464
606,32_277,1.2839,2.1776,0.755,1.8656,2.3909,3.9333,1.4344,3.5105
607,gatxing-hot+6-Dp5head-e79,1.2839,2.225,0.7623,1.8034,2.38,4.032,1.4502,3.3296
608,24_171,1.284,2.1834,0.7533,1.8656,2.3917,3.9368,1.4382,3.5009
609,24_148,1.284,2.1834,0.7533,1.8656,2.3917,3.9368,1.4382,3.5009
610,ssddq2,1.284,2.2349,0.7551,1.8139,2.4047,4.0373,1.4519,3.4324
611,1gatxing-xy6-noD-2lay-e16,1.284,2.2548,0.7469,1.8173,2.3764,4.0644,1.4233,3.3544
612,ssddq122,1.2841,2.2274,0.7533,1.8258,2.4066,4.0299,1.4526,3.4458
613,Vi_model_5_e24,1.2842,2.223,0.7473,1.846,2.3996,3.9961,1.4361,3.4884
614,gripgatxing-seq1-e49,1.2844,2.1802,0.7679,1.8318,2.4099,3.9014,1.4946,3.4671
615,gripgatxing-onehot9-e62,1.2845,2.2281,0.7582,1.8141,2.3901,4.027,1.4533,3.3717
616,att22,1.2846,2.2202,0.735,1.8831,2.3883,3.9797,1.3997,3.548
617,iu grip grip_bl 31,1.2847,2.2309,0.7316,1.8828,2.3973,3.9917,1.4103,3.55
618,gripgatxing-onehot+6-e62,1.2847,2.2307,0.7634,1.799,2.374,4.0118,1.4518,3.3164
619,TypeNewStructure39,1.2848,2.2097,0.7358,1.8914,2.3992,3.9795,1.404,3.5865
620,REV2500,1.2848,2.2152,0.7571,1.8303,2.4122,3.9901,1.4709,3.4595
621,VI Naive by Stepan,1.285,2.2712,0.7406,1.8236,2.3954,4.1074,1.4236,3.4011
622,8_299,1.285,2.2141,0.7628,1.8173,2.4063,4.0137,1.4551,3.4527
623,gatxing-hot+6-5head-e49,1.285,2.2355,0.755,1.8181,2.3757,4.0174,1.4398,3.3507
624,grip++cf,1.2851,2.2281,0.7546,1.8263,2.3839,3.9768,1.4274,3.4573
625,xriver007_test16tt,1.2851,2.2451,0.7407,1.8477,2.4051,4.0444,1.4202,3.5112
626,gatxing-xy6-noD-2lay-e62,1.2851,2.2777,0.7534,1.7846,2.3827,4.1175,1.4357,3.3024
627,simple_test_01,1.2852,2.2231,0.7438,1.8599,2.3974,4.0116,1.4245,3.4949
628,test20200626,1.2852,2.2231,0.7438,1.8599,2.3974,4.0116,1.4245,3.4949
629,Vi_model_6_e11,1.2852,2.2455,0.7413,1.846,2.393,4.0365,1.4204,3.4629
630,ssddq112,1.2852,2.2297,0.7461,1.8478,2.406,4.0284,1.4309,3.5018
631,test_grip_41,1.2853,2.1631,0.7787,1.8231,2.4016,3.883,1.5047,3.4193
632,STGTP-ai2,1.2854,2.2682,0.7218,1.8778,2.4023,4.0916,1.3817,3.5574
633,fnb33,1.2854,2.1586,0.7707,1.8485,2.3797,3.8623,1.4704,3.4293
634,f_n28,1.2856,2.1647,0.7884,1.7971,2.3933,3.8961,1.5124,3.3497
635,ff25,1.2857,2.2393,0.7452,1.8439,2.4203,4.0552,1.4459,3.5029
636,ff28,1.2857,2.2393,0.7452,1.8439,2.4203,4.0552,1.4459,3.5029
637,soh300202,1.2858,2.1663,0.7703,1.8444,2.4071,3.8914,1.4976,3.4554
638,TypeL25,1.2858,2.2617,0.7204,1.8892,2.4121,4.0969,1.3851,3.588
639,1gatxing-xy6-Dp-2lay-e49,1.2858,2.1953,0.7725,1.8122,2.3838,3.9506,1.4698,3.3692
640,iu grip grip_bl 43,1.2862,2.2174,0.7474,1.8599,2.3977,3.9713,1.441,3.4892
641,MODEL_62,1.2863,2.2443,0.7283,1.8866,2.422,4.0561,1.4057,3.6158
642,TEST1224,1.2863,2.25,0.7411,1.8475,2.3928,4.0391,1.4066,3.4962
643,TEST1225,1.2863,2.25,0.7411,1.8475,2.3928,4.0391,1.4066,3.4962
644,gatxing-hot+6-5head-e79,1.2863,2.2648,0.7531,1.8023,2.3782,4.0763,1.4386,3.3116
645,GRIP-test,1.2864,2.2312,0.7451,1.8544,2.4002,4.0139,1.4254,3.503
646,Naive Baseline by Stepan,1.2864,2.2872,0.7398,1.8176,2.4118,4.1537,1.4306,3.4151
647,VI Social by Stepan,1.2864,2.2872,0.7398,1.8176,2.4118,4.1537,1.4306,3.4151
648,VI+Public,1.2864,2.2872,0.7398,1.8176,2.4118,4.1537,1.4306,3.4151
649,Model_3,1.2865,2.241,0.7443,1.8484,2.3899,4.0199,1.4193,3.467
650,Model_m1_2_e13,1.2865,2.272,0.7356,1.8428,2.3952,4.1079,1.3969,3.4701
651,Vi_model_oth_m,1.2865,2.241,0.7443,1.8484,2.3899,4.0199,1.4193,3.467
652,31_231,1.2865,2.2215,0.7466,1.8598,2.3746,3.9523,1.4276,3.4369
653,ssddq120,1.2865,2.2191,0.7568,1.8353,2.4067,4.0046,1.459,3.4525
654,2chanel_grip,1.2866,2.1919,0.7698,1.826,2.4096,3.9372,1.4922,3.4394
655,Vi_model_4_e24,1.2867,2.2363,0.7454,1.8505,2.4021,4.015,1.4275,3.5053
656,soh118,1.2867,2.2038,0.7494,1.8694,2.413,3.9812,1.4406,3.5509
657,gripdw19,1.2867,2.2087,0.7432,1.8812,2.4077,3.9632,1.4293,3.573
658,xriver007_t59,1.2867,2.1682,0.7587,1.8775,2.388,3.875,1.4571,3.4905
659,soh300142,1.2868,2.1879,0.7614,1.8526,2.4101,3.9401,1.4694,3.4992
660,grip++_4_41,1.287,2.1968,0.7675,1.8295,2.3847,3.9409,1.4748,3.3686
661,grip_rs_48,1.287,2.2111,0.7486,1.8665,2.4094,4.007,1.4333,3.5306
662,vi_iu_grip_diff_27,1.2871,2.2653,0.732,1.8611,2.3884,4.0957,1.392,3.4631
663,VI rand1,1.2871,2.2792,0.744,1.8168,2.4178,4.1391,1.4451,3.4175
664,revision1-ngcn,1.2871,2.2107,0.7617,1.8328,2.3962,3.9555,1.4624,3.4404
665,1gatxing-hot+6-1lay-e79,1.2871,2.2523,0.7494,1.827,2.3819,4.0663,1.43,3.3602
666,29_293,1.2872,2.1669,0.7848,1.8118,2.3963,3.9272,1.4968,3.376
667,gripgatxing-seq1,1.2872,2.2198,0.7591,1.8316,2.4221,4.0069,1.4811,3.4622
668,24_158,1.2873,2.2096,0.7475,1.8721,2.3892,3.9753,1.4151,3.5153
669,gatxing-onehot+6-Dp-e79,1.2873,2.2243,0.7704,1.7981,2.3885,4.0196,1.4672,3.3346
670,GRIP_epoch18,1.2875,2.2383,0.7429,1.8589,2.4,4.0399,1.4139,3.5088
671,xriver007_1all_e5load,1.2876,2.2878,0.735,1.8351,2.413,4.1361,1.4156,3.4761
672,ssddqre0108,1.2877,2.2349,0.7458,1.8551,2.4109,4.04,1.436,3.5002
673,own_model_149,1.2878,2.2047,0.765,1.8327,2.4098,3.999,1.4634,3.4599
674,MODEL_10,1.2879,2.2973,0.7193,1.8694,2.4047,4.1567,1.3727,3.5325
675,grip20-ori,1.2879,2.2413,0.7349,1.8789,2.4052,4.0446,1.3936,3.5818
676,Vi_model_verify,1.2882,2.2645,0.7311,1.8695,2.4008,4.0817,1.3928,3.5302
677,dwnh0018,1.2882,2.2356,0.7495,1.8473,2.4055,4.0232,1.4406,3.4788
678,gripgatxing-xy6-noD-e62,1.2882,2.2433,0.7458,1.8499,2.3951,4.0694,1.4287,3.4208
679,xriver007_1all_e19load,1.2883,2.2677,0.7334,1.8609,2.4093,4.0695,1.4027,3.5537
680,Vi_model_4_e16,1.2884,2.2532,0.7486,1.8343,2.401,4.0366,1.4363,3.4573
681,Expt25,1.2884,2.1282,0.7746,1.8795,2.4216,3.8224,1.4915,3.6
682,Check,1.2885,2.2853,0.7464,1.8116,2.399,4.0979,1.4297,3.41
683,1gatxing-onehot9-2lay-e32,1.2885,2.2448,0.7602,1.8119,2.3903,4.0548,1.453,3.3481
684,test_grip_40,1.2887,2.1327,0.792,1.8311,2.4273,3.8361,1.5509,3.4573
685,GAIGUI1500,1.2887,2.1893,0.7885,1.7886,2.4159,3.9056,1.5391,3.3734
686,Model,1.2888,2.2518,0.7469,1.8422,2.4271,4.1254,1.4338,3.5018
687,ssddq125,1.2888,2.2283,0.7529,1.8475,2.4218,4.0515,1.4419,3.5238
688,Kam_4layers,1.2889,2.2253,0.7386,1.8882,2.4098,3.9961,1.4182,3.5819
689,Model_m2_1,1.2889,2.2253,0.7386,1.8882,2.4099,3.9961,1.4183,3.582
690,1gatxing-hot+6-1lay-e49,1.2889,2.2267,0.7534,1.8481,2.3871,4.0291,1.4332,3.409
691,ssddq110,1.289,2.2201,0.7554,1.8491,2.4102,4.003,1.4468,3.5021
692,Expt65,1.289,2.0585,0.7868,1.9134,2.4353,3.7006,1.545,3.6324
693,own_model,1.2891,2.2116,0.7764,1.8023,2.421,4.0133,1.4913,3.4244
694,26_243,1.2893,2.1466,0.7835,1.8433,2.3962,3.8714,1.4956,3.4296
695,gripgatxing-2gcn,1.2893,2.1885,0.7841,1.8036,2.4147,3.9115,1.5331,3.3783
696,ssddqf3f2115,1.2894,2.219,0.7561,1.8502,2.408,4.0131,1.4469,3.4826
697,vi_model_m1_3_e17,1.2895,2.2429,0.7456,1.8565,2.3937,4.0137,1.421,3.4852
698,goh14,1.2895,2.2426,0.7509,1.843,2.406,4.0484,1.4371,3.4671
699,gatxing-onehot+6-0.2-e32,1.2895,2.2766,0.7484,1.8186,2.3921,4.1169,1.4331,3.3523
